t0,interval,date,x,y,z,MEGNO (avg),vx,vy,vz,MEGNO (non-avg)
2451544.50000000000000000000,0.00000000000000000000, 2000  1  1    0H  0M  0.000000S,26522.45100000000093132257,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-3.72838486011445002788,1.06909715497081991842,0.00000000000000000000
2451544.50000000000000000000,2592000.00000000000000000000, 2000  1 31    0H  0M  0.000000S,5218.27784271799282578286,-25003.36674500211302074604,7212.91387857833433372434,2.02187186368154492300,-3.79935583729364800831,-0.74678976730315627108,0.17271572569280624343,2.06497818250813747198
2451544.50000000000000000000,5184000.00000000000000000000, 2000  3  1    0H  0M  0.000000S,-24478.31904940304229967296,-10059.87015808267096872441,2347.21226037926453500404,2.01185359616935732774,-1.50476303431894242735,3.42202331888744293309,-1.00837227704833920505,2.04301452652008030952
2451544.50000000000000000000,7776000.00000000000000000000, 2000  3 31    0H  0M  0.000000S,-15018.73402087843714980409,20945.15642271411707042716,-6426.78286405328890396049,2.01383676394806032661,3.19369266973608478821,2.13167774050315550483,-0.50462874894047293761,2.03391555126265011211
2451544.50000000000000000000,10368000.00000000000000000000, 2000  4 30    0H  0M  0.000000S,18441.77232132526842178777,18542.20806911780528025702,-4472.67418314041788107716,2.01496859791421023544,2.78102012974139611856,-2.56683027700218424627,0.84313129772599726408,2.02873339800286167645
2451544.50000000000000000000,12960000.00000000000000000000, 2000  5 30    0H  0M  0.000000S,22276.71989532815496204421,-13509.76531868699203187134,4972.15632754940543236444,2.00923836600009719788,-2.09466202739942630728,-3.16903926186531670339,0.78244263442507555606,2.02491437034281851481
2451544.50000000000000000000,15552000.00000000000000000000, 2000  6 29    0H  0M  0.000000S,-9659.54934048938230262138,-23969.78679339556401828304,6092.92269508229128405219,1.99776756563354651597,-3.60258554432271482781,1.29768994445965990536,-0.59014443156154428038,2.02133433305995957596
2451544.50000000000000000000,18144000.00000000000000000000, 2000  7 29    0H  0M  0.000000S,-26118.20118430682487087324,3870.82271531058222535648,-2995.37950001555873313919,1.98564766460220787359,0.65815786683576860128,3.68866078437501876408,-0.97331348609843459929,2.01743453114245063773
2451544.50000000000000000000,20736000.00000000000000000000, 2000  8 28    0H  0M  0.000000S,-823.19187376990066695726,25581.66694289847873733379,-7071.96626711456701741554,1.97523708613096538045,3.85963410924543026681,0.19512413279312212921,0.27034462207398546330,2.01299176775152766083
2451544.50000000000000000000,23328000.00000000000000000000, 2000  9 27    0H  0M  0.000000S,25712.82014584590069716796,6474.02850524252153263660,660.07666053775039927132,1.96408409131005923243,0.88318621834693322725,-3.62406722429843064504,1.06246954097203083478,2.00802939858443041388
2451544.50000000000000000000,25920000.00000000000000000000, 2000 10 27    0H  0M  0.000000S,11002.06698196810975787230,-23015.02007618466450367123,7280.99894888173821527744,1.95062582104724890897,-3.50621988504503701023,-1.65441428822682068400,0.07886889855312440023,2.00275740639352806127
2451544.50000000000000000000,28512000.00000000000000000000, 2000 11 26    0H  0M  0.000000S,-21325.74302950816854718141,-15739.19535708100011106580,1729.19011809314429228834,1.93953293859500641716,-2.27257586624996488212,2.95964865171394064802,-1.03724669241466704861,1.99751353435568868022
2451544.50000000000000000000,31104000.00000000000000000000, 2000 12 26    0H  0M  0.000000S,-19530.89311461587931262329,16707.41271303720350260846,-6743.00232169185801467393,1.93719426891612545027,2.58555185118739094818,2.85058449547983494554,-0.42058653979138804768,1.99269809943332898428
2451544.50000000000000000000,33696000.00000000000000000000, 2001  1 25    0H  0M  0.000000S,13437.07404247292470245156,22547.53118943455774569884,-3951.46067842247066437267,1.94452793350996766542,3.30326941322436917758,-1.81496747605627506417,0.90227977106970047583,1.98870114030941791405
2451544.50000000000000000000,36288000.00000000000000000000, 2001  2 24    0H  0M  0.000000S,24793.91870862511859741062,-7673.34505093964526167838,5448.92697152874279709067,1.95681682613908103363,-1.27011724600075037728,-3.59473021457408759005,0.71507354763917485574,1.98582884275509385930
2451544.50000000000000000000,38880000.00000000000000000000, 2001  3 26    0H  0M  0.000000S,-3608.17444573718921674299,-25664.20197060325153870508,5710.05610436248571204487,1.97047643742041755921,-3.79905727560595352088,0.38148870046333760442,-0.66888435484784725116,1.98424580752470158806
2451544.50000000000000000000,41472000.00000000000000000000, 2001  4 25    0H  0M  0.000000S,-26198.31174597705830819905,-2601.73712909451433006325,-3580.50032434555942018051,1.98645701154188403237,-0.24686232950042685808,3.74943016540605489340,-0.93346931787721032503,1.98394795125032574745
2451544.50000000000000000000,44064000.00000000000000000000, 2001  5 25    0H  0M  0.000000S,-6924.40917327095121436287,24695.10735846214083721861,-6922.27499093347068992443,2.00535317347764019402,3.68584412049501697339,1.13137881067557799497,0.36019773440644287099,1.98476843285756876512
2451544.50000000000000000000,46656000.00000000000000000000, 2001  6 24    0H  0M  0.000000S,23328.12694808219384867698,12570.58090716235165018588,1302.54398868427688285010,2.02280896350802574801,1.72066798764029504909,-3.30977064044188917791,1.05748323012333655946,1.98640889399282571937
2451544.50000000000000000000,49248000.00000000000000000000, 2001  7 24    0H  0M  0.000000S,16126.25246380041062366217,-19727.63231938250464736484,7356.44128996907056716736,2.03179923038824306047,-2.99880743996008858332,-2.46015064705006691881,-0.01818570485650050639,1.98848766800118981202
2451544.50000000000000000000,51840000.00000000000000000000, 2001  8 23    0H  0M  0.000000S,-16892.97138911693400586955,-20455.38234931388797122054,1066.65936489749537940952,2.02996912783985772322,-2.90224771280143256647,2.33610868367749935359,-1.06375096176698002992,1.99059871902748786177
2451544.50000000000000000000,54432000.00000000000000000000, 2001  9 22    0H  0M  0.000000S,-22864.48005130097953951918,11584.36409203652510768734,-7018.48449554969010932837,2.02136088375334210809,1.82290126998314905293,3.39881157547651557849,-0.33020170287290473432,1.99237284312928686347
2451544.50000000000000000000,57024000.00000000000000000000, 2001 10 22    0H  0M  0.000000S,7597.86934579286935331766,25216.29700170895011979155,-3410.14763246732354673441,2.01017845041975862230,3.62734992043582682442,-0.96806820796869341716,0.95450868603816840796,1.99352986168642387632
2451544.50000000000000000000,59616000.00000000000000000000, 2001 11 21    0H  0M  0.000000S,25819.55859023512675776146,-1438.04532420830673800083,5890.91827241100509127136,1.99559530018849051736,-0.36246431218514940653,-3.80675277629319808170,0.64911942602877292785,1.99391331770236091003
2451544.50000000000000000000,62208000.00000000000000000000, 2001 12 21    0H  0M  0.000000S,2696.71035662684744238504,-25840.41534999582290765829,5349.85511093478089605924,1.97645005337558821168,-3.76572182638033137181,-0.55046921968902751132,-0.74578135571913883872,1.99350533377958027970
2451544.50000000000000000000,64800000.00000000000000000000, 2002  1 20    0H  0M  0.000000S,-24690.35403741412665112875,-8859.24897629542465438135,-4174.02767558375398948556,1.95727887844943237994,-1.14119075592348750980,3.59117422732881630409,-0.89474411241818474494,1.99242262296636041263
2451544.50000000000000000000,67392000.00000000000000000000, 2002  2 19    0H  0M  0.000000S,-12652.28556323196062294301,22372.68285782066232059151,-6750.71496225338705698960,1.94574248488881851316,3.28714661656329099060,1.99383319250515511634,0.45202465223643295555,1.99089257942724007222
2451544.50000000000000000000,69984000.00000000000000000000, 2002  3 21    0H  0M  0.000000S,19477.22766604704520432279,17930.24467788252877653576,1935.72653609797862372943,1.94492095905867623529,2.46734980104514978194,-2.79937605354279384073,1.04629253941544830830,1.98920906598556990197
2451544.50000000000000000000,72576000.00000000000000000000, 2002  4 20    0H  0M  0.000000S,20418.95725550828865380026,-15221.93142595075369172264,7387.23772835885210952256,1.95154657072006032514,-2.29293364018981904451,-3.12717925318342082619,-0.10811300726055300681,1.98767498820590149400
2451544.50000000000000000000,75168000.00000000000000000000, 2002  5 20    0H  0M  0.000000S,-11287.96765493430757487658,-24011.26718377728320774622,477.94787973460233843070,1.96201031259770553028,-3.37799768981945414126,1.56212542230985462766,-1.08477271011453391125,1.98654581520115902649
2451544.50000000000000000000,77760000.00000000000000000000, 2002  6 19    0H  0M  0.000000S,-24912.57344415206534904428,5703.25560943150139792124,-7267.80048060066292237025,1.97653670987357354960,0.92886406599792270544,3.75024986216681854856,-0.24953363598333189177,1.98598673888640298024
2451544.50000000000000000000,80352000.00000000000000000000, 2002  7 19    0H  0M  0.000000S,1181.19737910297453709063,26381.83092201941326493397,-2903.77466576700862788130,1.99581206540585220921,3.73880278007353794578,-0.05965661457554721769,1.00534775923539676512,1.98604954962460000800
2451544.50000000000000000000,82944000.00000000000000000000, 2002  8 18    0H  0M  0.000000S,25299.50197891346397227608,4881.56786726068457937799,6328.46450890101732511539,2.01546726348276283858,0.58128466046759674768,-3.78872020422800348527,0.58357991065387726515,1.98667048164504311814
2451544.50000000000000000000,85536000.00000000000000000000, 2002  9 17    0H  0M  0.000000S,8941.52163200036375201307,-24466.17014857186950393952,4972.64922028577439050423,2.02772150819772889463,-3.50392123178380687776,-1.44855908090514029496,-0.81949654488214618286,1.98768824777537433945
2451544.50000000000000000000,88128000.00000000000000000000, 2002 10 17    0H  0M  0.000000S,-21680.39197484314718167298,-14577.64821678632688417565,-4724.12810833803268906195,2.02900475560121495988,-1.98304217630389256755,3.21784561724688256135,-0.85229102944576162759,1.98887868083860697155
2451544.50000000000000000000,90720000.00000000000000000000, 2002 11 16    0H  0M  0.000000S,-17704.61666857364252791740,18702.26229046688968082890,-6560.12934498258164239815,2.02266593497580382532,2.68774200848765687510,2.73341541164120238605,0.53659720427256119013,1.98999820424440510003
2451544.50000000000000000000,93312000.00000000000000000000, 2002 12 16    0H  0M  0.000000S,14417.64665810217229591217,22158.61988486073460080661,2527.54911824952432652935,2.01255304343940588652,3.07143008226886005119,-2.12130432257470147306,1.03511494709810936143,1.99082661404602156985
2451544.50000000000000000000,95904000.00000000000000000000, 2003  1 15    0H  0M  0.000000S,23493.71179776981807663105,-9813.15135639007348800078,7429.16977722091087343870,1.99760632045633035325,-1.44289484359169728478,-3.59497498380713365052,-0.19404251262535621159,1.99120251451885055261
2451544.50000000000000000000,98496000.00000000000000000000, 2003  2 14    0H  0M  0.000000S,-4954.31196318400725431275,-26058.38679611452243989334,-97.27071761081280953931,1.97678974039029964338,-3.65150048888055822616,0.69538002425549416685,-1.10615341689655988233,1.99104863814235133468
2451544.50000000000000000000,101088000.00000000000000000000, 2003  3 16    0H  0M  0.000000S,-25474.90009570115580572747,-521.70698359250957309996,-7500.19696336964170768624,1.95452637362360404083,-0.03320774657315056499,3.86911633696390211412,-0.16938539113747880238,1.99038436910163696325
2451544.50000000000000000000,103680000.00000000000000000000, 2003  4 15    0H  0M  0.000000S,-5436.46378536390511726495,25901.58713849815831054002,-2405.78005098502580949571,1.93887305888480110383,3.62569923535910820789,0.85733367315287045685,1.05044460996933763930,1.98932127662334523599
2451544.50000000000000000000,106272000.00000000000000000000, 2003  5 15    0H  0M  0.000000S,23215.31519212113926187158,10989.41947132466702896636,6702.43273915531790407840,1.93405566752776914008,1.51451727475922703903,-3.52862150203744029398,0.52272174384869685149,1.98804014469129808340
2451544.50000000000000000000,108864000.00000000000000000000, 2003  6 14    0H  0M  0.000000S,14834.93410790756934147794,-21481.74549707509140716866,4652.57617177846987033263,1.93777920664860636712,-3.01721119972209184112,-2.27351207727803972247,-0.88129626590787379925,1.98675423648004212396
2451544.50000000000000000000,111456000.00000000000000000000, 2003  7 14    0H  0M  0.000000S,-17241.63430916157449246384,-19489.28627810355101246387,-5195.49169614462152821943,1.94653596450632471182,-2.72999898886390779396,2.62802942812724138477,-0.81863484929222896103,1.98566761819634685082
2451544.50000000000000000000,114048000.00000000000000000000, 2003  8 13    0H  0M  0.000000S,-21805.26013268301903735846,13762.41340559121090336703,-6408.79151882836595177650,1.96036926994927696022,1.90768289351650954799,3.31293013333005825771,0.61286881298155726494,1.98493723361058904686
2451544.50000000000000000000,116640000.00000000000000000000, 2003  9 12    0H  0M  0.000000S,8352.53768683158341445960,25033.33231224940027459525,3079.72969197058955614921,1.98006673420084089443,3.50094622931424437340,-1.29714743634186424615,1.02552193970327376604,1.98464549839690951316
2451544.50000000000000000000,119232000.00000000000000000000, 2003 10 12    0H  0M  0.000000S,25197.53240749454198521562,-3684.48171271112687463756,7453.71165732140252657700,2.00152105100474653199,-0.48400077539096031387,-3.83686871552642738692,-0.27355610217927806005,1.98478809594513716519
2451544.50000000000000000000,121824000.00000000000000000000, 2003 11 11    0H  0M  0.000000S,1832.12495374422610439069,-26448.90498688285879325122,-612.31441245081191482313,2.01651143645846087082,-3.70624324653236270066,-0.23170344734512915430,-1.12135398586503054474,1.98527899882447944613
